age_of_participant,gender,academic_status,field_of_education,do_you_know_about_how_antibiotics_differ_from_other_drugs,pick_the_most_appropriate_definition_of_antibiotics,how_can_you_identify_an_antibiotic,what_is_your_idea_about_the_importance_of_antibiotics,what_is_the_most_dangerous_impact_of_antibiotics,what_is_your_opinion_about_antibiotic_usage,what_is_your_perception_of_drug-resistant_germs,do_you_have_idea_about_antibiotic_resistance_as_a_threat_to_public_health,choose_a_statement_that_you_feel_is_the_best_strategy_to_face_antibiotic-resistance,which_of_the_strategies_have_you_heard_about_against_antibiotic_resistance,what_type_of_movement_on_public_health_issues_do_you_think_will_be_effective_in_setting_malpractices_right,why_do_you_think_public_health_issues_don’t_get_due_importance_in_public_opinion,how_many_antibiotics_have_you_taken_over_the_past_3_years,what_was_the_pattern_of_antibiotic_use,what_was_the_formulation_of_the_product_used,what_was_the_best_experience_with_the_consumption_of_antibiotics,what_was_the_worst_experience_with_the_consumption_of_antibiotics,how_did_you_come_to_consume_the_antibiotic,have_you_experienced_treatment_failure_from_antibiotic_consumption,what_was_your_understanding_of_treatment_failure
21,Male,Hon's first year.,University of Dhaka. ,No ,Medicine used to treat fever ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,Bsc 1st year,University of Dhaka,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used everywhere possible without restriction ,I don’t care about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
19,Female,Honors 1st year,Genetic Engineering ,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Side-effects ,A registered physician prescribed it for the specific symptoms ,Yes ,The symptom persisted even after taking the antibiotic directly 
21,Male,Hons,Biology faculty,Yes ,Medicine used to treat infections ,From name ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
20,Male,Honours student,Physics,Yes ,Medicine used to treat viral disease ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
19,Male,Hons 1st year ,University of Dhaka    ,Yes ,Medicine used to treat fever ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic consumption increases the cost of healthcare ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Legal movement by welfare lawyers ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
19,Male,Honours in Microbiology,Jagannath University,No ,Medicine used to treat infections ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,No ,
23,Male,Bsc Engineering ,EEE,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Legal movement by welfare lawyers ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
20,Female, B-pharm (First year),Pharmacy,No ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
20,Male,1st year Bsc,Bsc in Microbiology,No ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t care ,,,,,,,
22,Male,student,Education and Research,No ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
22,Female,BBA 3rd year,Jagannath University ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
19,Male,honours,b.a,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
24,Male,"Mechanical Engineering last year,Cuet",ME,Yes ,Medicine used to treat infections ,From name ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,No ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
22,Male,B.sc. Engineering 4th year ,textile engineering   ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
23,Male,BSc,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our media is not active in spreading awareness ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Tablet,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),High price ,A registered physician prescribed it for the specific symptoms ,No ,
22,Female,Student,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Duration ,A non-registered medical professional  recommended (অনিবন্ধিত মেডিকেল পেশাদারের  পরামর্শ অনুযায়ী),No ,
18,Male,"Honours 1st year, Jagannath University ",Microbiology ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
22,Female,Student,English ,Yes ,Medicine used to treat viral disease ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
21,Female,Medical student ,Ibrahim medical College ,Yes ,Medicine used to treat inflammation ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I don’t remember what antibiotics I took (আমার মনে নেই),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Duration ,A registered physician prescribed it for the specific symptoms ,No ,
21,Female,Honours 2nd year,Eden Mohila college ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t care ,,,,,,,
20,Female,Medical student,Medicine ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
23,Male,Undergraduate (Khulna University) ,Urban and Rural Planning ,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason epidemics have been controlled ,Antibiotic consumption increases the cost of healthcare ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Antibiotics should always be used without consideration of antibiotic resistance ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Legal movement by welfare lawyers ,Our government does not endorse forming public opinion on public health policies ,I don’t care ,,,,,,,
19,Male,Dhaka University  ,"Department of Political Science, Dhaka University  ",Yes ,Medicine used to treat inflammation ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
20,Male,BSc,Geography and Environmental Science ,No ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),"Tablet, Injection",I felt good to take medicines regularly (আমি নিয়মিত ওষুধ সেবন করলে ভাল বোধ করি),Quality ,I wanted to consume antibiotic ,Yes ,I didn’t consume antibiotic on time and didn’t complete the course 
28,Male,MBA,Business Studies,No ,Medicine used to treat infections ,I have no idea ,They are the reason hospitalization has been reduced ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Legal movement by welfare lawyers ,Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
26,Male,Postgraduate,Mathematics ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Tablet,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
20,Male,Undergraduate student,Biochemistry and Molecular Biology,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,No ,
20,Male,BBA 1st year,DU,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption increases the cost of healthcare ,Antibiotics should be used everywhere possible without restriction ,I don’t know about it ,No ,Anyone can use antibiotics as chosen ,Regulated production and distribution of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
19,Male,Hons 1st,English ,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic production pollutes the environment ,Antibiotics should be used everywhere possible without restriction ,I don’t know about it ,No ,Anyone can use antibiotics as chosen ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
25,Male,Masters,Running ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Legal movement by welfare lawyers ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
23,Female,M.A,History ,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic consumption increases the cost of healthcare ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
22,Male,College,Computer science,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
22,Male,BsC ,Microbiology,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
19,Female,Hsc ,Hsc,Yes ,Medicine used to treat infections ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic production pollutes the environment ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
22,Male,Honours ,Honours ,Yes ,Medicine used to treat viral disease ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic consumption increases the cost of healthcare ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
24,Male,Master’s running  ,No,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,None ,,,,,,,
28,Male,M.B.B.S (Faridpur medical college),MEDICAL  SCIENCE,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Duration ,A registered physician prescribed it for the specific symptoms ,No ,
21,Female,Honours final year( BSS),Department of public administration   ,Yes ,Medicine used to treat inflammation ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Citizen movement from all people ,Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
24,Male,BSC,Mechanical engineering ,Yes ,Medicine used to treat inflammation ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
24,Male,Honours,Business studies (hons) ,No ,Medicine used to treat infections ,From name ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
20,Male,"Azam khan Commerce College,khulna",Honours 1st year,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,I felt good to take medicines regularly (আমি নিয়মিত ওষুধ সেবন করলে ভাল বোধ করি),Quality ,A registered physician prescribed it for the specific symptoms ,No ,
32,Male,Graduation ,Business administration,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
22,Male,Honours ,English ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
23,Male,"Honours 4th year,at economics ","Department of economics, govt.BL College Khulna ",No ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,No ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
18,Female,Inter 2nd year,Begum Badrunnesa Government girls college,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic production pollutes the environment ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
23,Female,Honors 4th year,Law ,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
23,Male,Honor's 3rd year,Bengali language and literature ,No ,Medicine used to treat fever ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,I know precisely ,I don’t remember what antibiotics I took (আমার মনে নেই),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,No ,
28,Male,masters,Economics,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
21,Female,Student,Microbiology,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our government does not endorse forming public opinion on public health policies ,None ,,,,,,,
20,Male,Bsc ( Engineering) 1st year 2nd semester   ,Industrial & Production Engineering   ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
22,Male,Halim,Halim,Yes ,Medicine used to treat infections ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic consumption damages health ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
